name,type
focus,Focus
blur,Focus
focusin,Focus
focusout,Focus
mouseover,Mouse
mouseout,Mouse
mousemove,Mouse
mousedown,Mouse
mouseup,Mouse
click,Mouse
dblclick,Mouse
wheel,Mouse
mousewheel,Mouse
contextmenu,Mouse
drag,Drag
dragend,Drag
dragenter,Drag
dragleave,Drag
dragover,Drag
dragstart,Drag
drop,Drag
keydown,Keyboard
keyup,Keyboard
keypress,Keyboard
change,Change
input,
invalid,
reset,
select,
selectstart,
selectionchange,
submit,
beforecopy,
beforecut,
beforepaste,
copy,Clipboard
cut,Clipboard
paste,Clipboard
touchcancel,Touch
touchend,Touch
touchmove,Touch
touchstart,Touch
touchenter,Touch
touchleave,Touch
pointercapture,Pointer
lostpointercapture,Pointer
pointercancel,Pointer
pointerdown,Pointer
pointerenter,Pointer
pointerleave,Pointer
pointermove,Pointer
pointerout,Pointer
pointerover,Pointer
pointerup,Pointer
canplay,
canplaythrough,
cuechange,
durationchange,
emptied,
pause,
play,
playing,
ratechange,
seeked,
seeking,
stalled,
stop,
suspend,
timeupdate,
volumechange,
waiting,
loadstart,Progress
timeout,Progress
abort,Progress
load,Progress
loadend,Progress
progress,Progress
error,Progress
activate,
beforeactivate,
beforedeactivate,
deactivate,
ended,
fullscreenchange,
fullscreenerror,
loadeddata,
loadedmetadata,
pointerlockchange,
pointerlockerror,
readystatechange,
scroll,