name,needsEscape,canHaveChildren
a,false,true
abbr,false,true
acronym,false,true
address,false,true
applet,false,true
area,false,false
article,false,true
aside,false,true
audio,false,true
b,false,true
base,true,false
basefont,false,true
bdi,false,true
bdo,false,true
big,false,true
blockquote,false,true
body,false,true
br,false,false
button,false,true
canvas,false,true
caption,false,true
center,false,true
cite,false,true
code,false,true
col,false,false
colgroup,false,true
content,false,true
data,false,true
datalist,false,true
dd,false,true
del,false,true
details,false,true
dfn,false,true
dialog,false,true
dir,false,true
div,false,true
dl,false,true
dt,false,true
element,false,true
em,false,true
embed,false,false
fieldset,false,true
figcaption,false,true
figure,false,true
font,false,true
footer,false,true
form,false,true
frame,false,true
frameset,false,true
h1,false,true
h2,false,true
h3,false,true
h4,false,true
h5,false,true
h6,false,true
head,false,true
header,false,true
hr,false,false
html,false,true
i,false,true
iframe,false,true
img,false,false
input,false,false
ins,false,true
kbd,false,true
label,false,true
legend,false,true
li,false,true
link,false,false
main,false,true
map,false,true
mark,false,true
menu,false,true
menuitem,false,true
meta,false,false
meter,false,true
nav,false,true
noembed,false,true
noframes,false,true
noscript,false,true
object,false,true
ol,false,true
optgroup,false,true
option,false,true
output,false,true
p,false,true
param,false,false
picture,false,true
pre,false,true
progress,false,true
q,false,true
rb,false,true
rp,false,true
rt,false,true
rtc,false,false
ruby,false,true
s,false,true
samp,false,true
script,false,true
section,false,true
select,false,true
shadow,false,true
slot,false,true
small,false,true
source,false,false
span,false,true
strike,false,true
strong,false,true
style,false,true
sub,false,true
summary,false,true
sup,false,true
svg,false,true
table,false,true
tbody,false,true
td,false,true
template,false,true
textarea,false,true
tfoot,false,true
th,false,true
thead,false,true
time,false,true
title,false,true
tr,false,true
track,false,false
tt,false,true
u,false,true
ul,false,true
var,false,true
video,false,true
wbr,false,false